age,job,marital,loan++month,campaign
44,blue-collar,married,no++aug,1
53,technician,married,no++nov,1
28,management,single,no++jun,3
39,services,married,no++apr,2
55,retired,married,no++aug,1
30,management,divorced,no++jul,8
37,blue-collar,married,no++may,1
39,blue-collar,divorced,no++may,1
NULL,admin.,married,no++jun,1
27,blue-collar,single,no++apr,2
34,housemaid,single,no++may,2
41,management,married,no++aug,1
55,management,married,no++aug,3
33,services,divorced,no++may,5
26,admin.,NULL,yes++jun,1
52,services,NULL,no++jul,2
35,services, ,no++apr,2
27,admin., ,no++oct,1
NULL,blue-collar,,no++may,1
NULL,unemployed,,yes++jul,4
NULL,unemployed,married,no++apr,1
NULL,blue-collar,single,yes++jun,1
NULL,admin.,married,no++jul,1
32,technician,single,no++jul,1
41,blue-collar,married,yes++jul,3
34,entrepreneur,single,no++may,2
49,technician,divorced,yes++oct,1
37,admin.,married,no++apr,1
35,blue-collar,married,no++may,2
test,blue-collar,single,test++jul,5
abc,services,divorced,abc++jun,1
46,admin.,married,test++may,2
27,technician,married,abc++may,1
29,technician,married,NULL++jun,3
32,services,divorced,NULL++jul,2
36,blue-collar,married,no++may,1
29,blue-collar,married,yes++jul,1
47,technician,married,no++apr,2
44,blue-collar,married,no++jun,25
54,management,married,yes++aug,11
36,blue-collar,married,no++may,2
42,blue-collar,married,no++may,1
44,blue-collar,married,no++jul,5
72,retired,divorced,no++nov,2
48,blue-collar,married,no++aug,3
36,management,married,no++nov,1
35,housemaid,married,no++aug,1
43,entrepreneur,married,no++may,3
56,retired,married,no++aug,1
42,blue-collar,married,no++jun,2
31,admin.,single,no++may,1
32,technician,married,no++jun,5
33,blue-collar,married,yes++may,2
31,blue-collar,married,no++jun,4
39,management,married,no++may,1
30,blue-collar,married,no++may,4
24,management,single,no++may,4
24,admin.,married,yes++may,1
38,blue-collar,married,no++may,4
26,blue-collar,married,no++jun,12
41,technician,married,no++may,1
34,admin.,married,yes++apr,1
30,management,married,no++mar,1
37,admin.,married,no++nov,1
68,retired,married,no++jul,1
31,admin.,single,no++jul,2
48,technician,divorced,no++apr,1
33,technician,married,no++may,4
59,self-employed,single,no++may,3
44,blue-collar,married,no++may,3
28,NULL,single,no++jun,1
50,management,married,no++aug,3
33,entrepreneur,married,no++nov,1
45,services,married,no++may,1
40,management,married,no++jul,2
45,services,married,no++aug,18
43,technician,divorced,no++may,2
54,blue-collar,married,yes++may,3
53,technician,divorced,no++may,1
35,self-employed,single,no++jul,1
30,technician,single,no++aug,1
25,technician,married,no++jun,2
35,services,divorced,yes++aug,1
54,admin.,married,no++mar,1
30,blue-collar,married,no++jul,2
38,admin.,married,no++aug,1
35,admin.,married,no++oct,1
47,blue-collar,married,no++may,1
32,blue-collar,single,no++jul,3
27,blue-collar,married,no++may,1
40,blue-collar,married,NULL++nov,1
31,admin.,married,no++may,3
42,blue-collar,divorced,no++apr,2
40,blue-collar,married,no++may,4
31,admin.,single,no++nov,1
57,technician,married,no++jun,2
38,admin.,single,no++apr,1
39,services,married,no++may,2
37,admin.,divorced,yes++may,5
50,unemployed,married,yes++jul,1
33,blue-collar,single,yes++apr,1
41,blue-collar,married,NULL++jun,1
37,entrepreneur,married,NULL++may,1
25,student,single,no++apr,1
35,admin.,married,no++jul,1
46,management,married,no++jul,2
29,admin.,divorced,no++jun,3
35,admin.,married,no++aug,4
48,entrepreneur,single,no++may,3
31,self-employed,single,no++oct,1
33,blue-collar,divorced,yes++may,6
63,retired,divorced,yes++jul,1
38,admin.,married,no++nov,2
34,admin.,divorced,no++nov,2
34,services,divorced,no++jul,4
47,management,married,no++may,2
27,blue-collar,single,no++may,1
24,admin.,single,no++aug,1
36,blue-collar,married,no++may,3
29,services,single,no++jun,2
58,retired,married,no++jun,1
40,technician,married,no++aug,1
31,admin.,single,no++aug,8
60,retired,married,no++aug,3
58,housemaid,married,no++jul,1
32,blue-collar,single,no++jul,2
54,admin.,divorced,no++jun,4
43,technician,married,no++aug,2
48,retired,married,no++jun,8
33,admin.,married,no++nov,1
37,blue-collar,married,no++jul,2
35,services,divorced,no++may,2
34,services,married,no++may,1
30,technician,single,no++aug,17
38,admin.,married,no++jun,1
29,technician,divorced,no++may,5
49,entrepreneur,married,no++apr,1
48,management,divorced,no++aug,1
33,management,married,no++jul,2
33,admin.,single,yes++apr,1
42,management,married,no++may,1
39,admin.,married,no++jun,1
55,entrepreneur,married,yes++nov,2
46,management,married,no++may,3
55,blue-collar,divorced,yes++jun,3
42,entrepreneur,married,no++nov,1
24,student,single,no++may,1
49,blue-collar,married,no++aug,1
38,admin.,married,yes++jul,3
34,admin.,married,no++aug,1
46,blue-collar,married,no++jul,1
45,technician,married,no++aug,5
