id,owner_id,name,breed,petType,imageUrl,dob,gender,sex,created,updated,status,timezone
2,1,Shtut,Canaan Dog,Dog,NULL,2009-12-01 00:00:00,1,Neutered Male,2013-12-03 13:03:11,NULL,3,NULL
3,NULL,Smiti,Golden Retriever,Dog,NULL,2008-11-01 00:00:00,1,NULL,2013-12-05 07:06:15,NULL,5,NULL
4,92,Smiti,Golden Retriever,Dog,NULL,2008-11-01 00:00:00,1,Spayed Female,2013-12-05 07:07:44,2014-11-27 12:20:11,3,NULL
8,NULL,Teci245,Tyg,Cat,NULL,2013-12-09 00:00:00,1,NULL,2013-12-09 08:28:45,NULL,5,NULL
12,NULL,Yigal,DSH,Cat,NULL,2005-12-09 00:00:00,1,NULL,2013-12-09 09:47:00,NULL,3,NULL
15,2,Snorka,Mixed breed,Dog,NULL,2009-12-09 00:00:00,1,Spayed Female,2013-12-09 12:08:19,NULL,3,NULL
23,NULL,Mika,German Shepherd Dog,Dog,//s3.amazonaws.com/petpace.images.pet/fa07c92badae65948b84037ed71fd559,2012-09-11 00:00:00,1,NULL,2013-12-11 11:38:10,2014-05-18 22:18:09,3,NULL
24,3,Jake,Lightfoot*,Dog,NULL,2002-12-11 00:00:00,1,NULL,2013-12-11 22:39:39,NULL,3,NULL
25,NULL,dester,Mixed,Dog,//s3.amazonaws.com/petpace.images.pet/c4c7fefbb51260c16dabd578a0218e3c,2011-12-12 00:00:00,1,NULL,2013-12-12 13:57:04,2014-05-18 21:24:29,3,NULL
26,4,Pumpernickel,American Pit Bull Terrier Mixed,Dog,NULL,2008-12-12 00:00:00,1,NULL,2013-12-12 14:47:50,NULL,3,NULL
27,NULL,Jasper,Labrador Retriever,Dog,NULL,2004-12-12 00:00:00,1,NULL,2013-12-12 16:43:40,NULL,3,NULL
29,NULL,Clayton,Labrador Retriever,Dog,//s3.amazonaws.com/petpace.images.pet/6b2af06b6d8d0751bc5d170d30bee041,2010-12-08 00:00:00,1,NULL,2013-12-16 20:21:19,2014-08-27 08:55:21,3,NULL
31,NULL,Nordia2,DSH,Cat,NULL,2009-12-17 00:00:00,1,Neutered Male,2013-12-17 09:01:35,NULL,3,NULL
32,NULL,Miklat,DSH,Cat,NULL,2010-12-17 00:00:00,1,Neutered Male,2013-12-17 09:41:49,NULL,3,NULL
40,NULL,Nordia3,DSH,Cat,NULL,2010-12-18 00:00:00,1,NULL,2013-12-18 09:41:43,NULL,3,NULL
41,NULL,Jacob,mixed,Dog,NULL,2001-12-20 00:00:00,1,NULL,2013-12-20 20:41:54,NULL,3,NULL
48,NULL,Peter,DSH,Cat,NULL,2012-12-25 00:00:00,1,Neutered Male,2013-12-25 11:48:21,NULL,3,NULL
50,NULL,Dominick,Labrador Retriever,Dog,NULL,2009-11-17 00:00:00,1,Neutered Male,2013-12-30 19:13:14,2015-02-16 08:09:20,3,NULL
51,5,Ruby,American Cocker Spaniel,Dog,NULL,2001-01-02 00:00:00,1,Spayed Female,2014-01-02 12:05:06,NULL,3,NULL
52,480,Leya,mixed,Dog,//s3.amazonaws.com/petpace.images.pet/2296d7f1ac203162297bda8478841392,2002-01-07 00:00:00,1,Spayed Female,2014-01-07 09:59:36,2015-01-19 13:23:04,3,NULL
53,6,Shlompi,Golden Retriever Mixed,Dog,NULL,2014-01-07 00:00:00,1,NULL,2014-01-07 13:42:28,NULL,3,NULL
54,NULL,Mitzi,Street,Cat,NULL,2014-01-07 00:00:00,1,NULL,2014-01-07 13:42:50,NULL,3,NULL
55,482,Bell,Australian Shepherd,Dog,//s3.amazonaws.com/petpace.images.pet/b83162cbdad3c727808bec3d9fb9efac,2010-01-08 00:00:00,1,Neutered Male,2014-01-08 09:20:14,2015-01-19 13:26:18,3,NULL
56,NULL,2pac,DSH,Cat,NULL,2014-05-08 00:00:00,1,Neutered Male,2014-01-08 12:21:24,NULL,3,NULL
57,NULL,Snow White,DSH,Cat,NULL,2014-06-08 00:00:00,1,Spayed Female,2014-01-08 14:07:07,NULL,3,NULL
58,NULL,Dikla,DSH,Cat,NULL,2012-01-08 00:00:00,1,Spayed Female,2014-01-08 15:41:13,NULL,3,NULL
59,NULL,Zvia,DSH,Cat,NULL,2014-11-09 00:00:00,1,NULL,2014-01-09 06:20:23,NULL,3,NULL
60,NULL,Tool,DSH,Cat,NULL,2012-01-12 00:00:00,1,Neutered Male,2014-01-12 13:59:46,NULL,3,NULL
61,NULL,Sam,mixed,Dog,NULL,2010-01-13 00:00:00,1,Neutered Male,2014-01-13 09:53:21,2014-05-23 06:33:30,3,NULL
62,NULL,Louie,DSH,Cat,NULL,2010-01-13 00:00:00,1,Intact Male,2014-01-13 12:16:35,NULL,3,NULL
63,NULL,rusty,pirenei mix,Dog,NULL,2008-01-14 00:00:00,1,NULL,2014-01-14 09:54:04,NULL,5,NULL
64,NULL,yermi,Labrador Retriever Mixed,Dog,NULL,2011-01-15 00:00:00,1,Neutered Male,2014-01-15 10:52:37,NULL,3,NULL
67,NULL,Ginger,DSH,Cat,NULL,2011-01-15 00:00:00,1,Neutered Male,2014-01-15 12:53:12,NULL,3,NULL
68,NULL,Ginger,DSH,Cat,NULL,2011-01-15 00:00:00,1,NULL,2014-01-15 12:53:14,NULL,5,NULL
