-1 1:-0.753605 2:-0.954561 3:-0.853674 4:-0.972875 5:-0.58503 6:-0.901432 7:-0.378891 8:0.885714 9:0.287129 10:-0.169811 
-1 1:-0.72879 2:-0.957349 3:-0.84074 4:-0.97009 5:-0.58488 6:-0.901051 7:-0.378816 8:0.857143 9:0.306931 10:-0.169811 
1 1:-0.827628 2:-0.978336 3:-0.825665 4:-0.992081 5:-0.585697 6:-0.907161 7:-0.378504 8:1 9:0.306931 10:-0.169811 
-1 1:-0.73971 2:-0.95088 3:-0.855152 4:-0.972774 5:-0.58503 6:-0.901212 7:-0.3789 8:-0.342857 9:0.227723 10:-0.157233 
-1 1:-0.733064 2:-0.953701 3:-0.848816 4:-0.973394 5:-0.585036 6:-0.901473 7:-0.378786 8:0.32381 9:0.326733 10:-0.18239 
1 1:-0.954704 2:-0.993184 3:-0.947374 4:-0.990361 5:-0.585645 6:-0.906028 7:-0.378756 8:-0.228571 9:0.148515 10:-0.119497 
-1 1:-0.971394 2:-0.994898 3:-0.961534 4:-0.997927 5:-0.585728 6:-0.906478 7:-0.378757 8:-0.914286 9:0.346535 10:-0.169811 
-1 1:-0.96317 2:-0.990898 3:-0.966738 4:-0.997599 5:-0.585726 6:-0.9064 7:-0.378761 8:0.219048 9:0.326733 10:-0.157233 
1 1:-0.991228 2:-0.989734 3:-0.975464 4:-0.999294 5:-0.585736 6:-0.906708 7:-0.378762 8:0.219048 9:0.346535 10:-0.169811 
1 1:-0.995989 2:-0.996477 3:-0.966725 4:-0.99953 5:-0.585736 6:-0.90667 7:-0.378762 8:-0.780952 9:0.287129 10:-0.157233 
-1 1:-0.900111 2:-0.977044 3:-0.941142 4:-0.991357 5:-0.585654 6:-0.905407 7:-0.378761 8:-0.752381 9:0.425743 10:-0.207547 
1 1:-0.975103 2:-0.991444 3:-0.944687 4:-0.999415 5:-0.585736 6:-0.90666 7:-0.378765 8:0.485714 9:-1 10:-0.396226 
-1 1:-0.936004 2:-0.994063 3:-0.943077 4:-0.995483 5:-0.585705 6:-0.906244 7:-0.378761 8:0.8 9:-0.70297 10:-0.232704 
-1 1:-0.819798 2:-0.981807 3:-0.885434 4:-0.983618 5:-0.585446 6:-0.904586 7:-0.378878 8:-0.428571 9:0.207921 10:-0.119497 
1 1:-0.950705 2:-0.989892 3:-0.925942 4:-0.998323 5:-0.585743 6:-0.906799 7:-0.378761 8:0.342857 9:0.227723 10:-0.081761 
-1 1:-0.825595 2:-0.982504 3:-0.8833 4:-0.982453 5:-0.585411 6:-0.904454 7:-0.378883 8:-0.114286 9:0.306931 10:-0.106918 
-1 1:-0.604426 2:-0.960309 3:-0.750451 4:-0.941849 5:-0.583203 6:-0.898013 7:-0.375595 8:0.619048 9:0.306931 10:-0.157233 
1 1:-0.534984 2:-0.954509 3:-0.47429 4:-0.959312 5:-0.583369 6:-0.903071 7:-0.380307 8:0.742857 9:0.306931 10:-0.169811 
-1 1:-0.626693 2:-0.961807 3:-0.766257 4:-0.948922 5:-0.583696 6:-0.899124 7:-0.376325 8:-0.771429 9:0.227723 10:-0.18239 
-1 1:-0.644434 2:-0.966096 3:-0.770235 4:-0.952169 5:-0.583901 6:-0.899761 7:-0.376582 8:1 9:0.306931 10:-0.169811 
1 1:-0.679172 2:-0.965172 3:-0.672945 4:-0.96515 5:-0.584215 6:-0.904276 7:-0.379329 8:1 9:0.306931 10:-0.169811 
-1 1:-0.340334 2:-0.944031 3:-0.42758 4:-0.744664 5:-0.587678 6:-0.911526 7:-0.288448 8:-0.152381 9:0.524752 10:-0.194969 
1 1:-0.459236 2:-0.904599 3:-0.769363 4:-0.978401 5:-0.586289 6:-0.910079 7:-0.379441 8:-0.27619 9:0.405941 10:-0.18239 
-1 1:-0.810873 2:-0.97205 3:-0.890585 4:-0.980726 5:-0.585376 6:-0.903683 7:-0.378603 8:-0.514286 9:0.227723 10:-0.0566038 
-1 1:-0.822072 2:-0.97522 3:-0.896923 4:-0.981476 5:-0.585418 6:-0.904015 7:-0.37852 8:0.866667 9:0.306931 10:-0.18239 
1 1:-0.978434 2:-0.990943 3:-0.96332 4:-0.999381 5:-0.585736 6:-0.906696 7:-0.378762 8:-0.67619 9:0.326733 10:-0.169811 
-1 1:-0.806188 2:-0.969262 3:-0.886312 4:-0.978186 5:-0.585299 6:-0.903177 7:-0.378517 8:-0.914286 9:0.306931 10:-0.169811 
1 1:-0.915551 2:-0.982486 3:-0.905997 4:-0.996861 5:-0.585745 6:-0.906992 7:-0.378718 8:-0.638095 9:0.227723 10:-0.106918 
1 1:-1 2:-0.995282 3:-0.976576 4:-0.99962 5:-0.585735 6:-0.906606 7:-0.378763 8:-0.257143 9:0.128713 10:0.584906 
-1 1:-0.906954 2:-0.979874 3:-0.936864 4:-0.992056 5:-0.585661 6:-0.905566 7:-0.37876 8:0.247619 9:0.326733 10:-0.220126 
-1 1:-0.774804 2:-0.97897 3:-0.87125 4:-0.97938 5:-0.585295 6:-0.903809 7:-0.378802 8:-0.695238 9:0.306931 10:-0.169811 
